Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
Edward Pasquale,FA,3,2,1,0,4,12,102,90,0.882,0,182
Scott Darling,FA,8,2,4,2,3.4,27,233,206,0.884,0,486
Kevin Boyle,ANH,5,1,3,0,2.2,10,139,129,0.928,1,277
Michal Neuvirth,TOR,7,1,4,1,4.3,26,184,158,0.859,0,366
Charlie Lindgren,MON,1,1,0,0,4.6,5,49,44,0.898,0,65
Mike McKenna,FA,11,1,5,1,4,34,316,282,0.892,0,511
Alex Nedeljkovic,CAR,1,1,0,0,2,2,26,24,0.923,0,60
Joey Daccord,OTT,1,0,1,0,5,5,40,35,0.875,0,60
Marcus Hogberg,OTT,4,0,2,1,4.1,14,121,107,0.884,0,206
Landon Bow,DAL,2,0,0,0,1,1,19,18,0.947,0,58
Tristan Jarry,PIT,2,0,1,1,3.5,7,62,55,0.887,0,120
Eric Comrie,WPG,1,0,1,0,5.1,5,28,23,0.821,0,60
Pavel Francouz,COL,2,0,2,0,2,2,35,33,0.943,0,61
Richard Bachman,VAN,1,0,1,0,6,6,29,23,0.793,0,60
Max Lagace,BOS,1,0,1,0,4.1,4,31,27,0.871,0,60
Hunter Miska,COL,1,0,0,0,3.3,1,9,8,0.889,0,18
Michael DiPietro,VAN,1,0,1,0,7,7,24,17,0.708,0,60
Peter Budaj,FA,3,0,1,0,5.1,6,33,27,0.818,0,72
Mike Condon,TB,2,0,2,0,6.5,8,40,32,0.8,0,75
Christopher Gibson,NYI,2,0,0,0,1.5,1,17,16,0.941,0,40
Kaden Fulcher,DET,1,0,0,0,4.4,2,11,9,0.818,0,27
Alex Lyon,PHI,2,0,1,0,5.1,6,31,25,0.806,0,71
