Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
Anthony Stolarz,25,PHI,12,10,4,3,3,35,358,323,0.902,3.33,1,1.7,630,4,0.4,2,108,-2.73,0,0,0,0
Anthony Stolarz,25,EDM,6,2,0,2,0,15,145,130,0.897,3.77,0,0.6,239,1,0.5,0,,,0,0,0,0
Malcolm Subban,25,VEG,21,20,8,10,2,60,612,552,0.902,2.93,1,2.9,1227,8,0.4,3,109,-4.84,0,0,0,4
Cam Talbot,31,TOT,35,32,11,17,3,108,997,889,0.892,3.4,1,3.6,1906,9,0.281,10,120,-18.14,0,1,1,0
Cam Talbot,31,EDM,31,29,10,15,3,95,888,793,0.893,3.36,1,3.4,1695,9,0.31,9,119,-14.96,0,1,1,0
Cam Talbot,31,PHI,4,3,1,2,0,13,109,96,0.881,3.7,0,0.3,211,0,0,1,,,0,0,0,0
Linus Ullmark,25,BUF,37,34,15,14,5,109,1146,1037,0.905,3.11,2,5.8,2102,18,0.529,6,106,-5.71,0,1,1,0
Semyon Varlamov,30,COL,49,49,20,19,9,136,1496,1360,0.909,2.87,2,8.2,2839,25,0.51,9,101,-1.16,0,0,0,2
Andrei Vasilevskiy,24,TBL,53,53,39,10,4,128,1713,1585,0.925,2.4,6,12.4,3204,34,0.642,7,83,26.4,0,3,3,6
Cam Ward,34,CHI,33,29,16,12,4,115,1113,998,0.897,3.67,0,4.6,1882,15,0.517,5,115,-14.68,0,1,1,4
,,,,,,,,,,,,,,,,,,,,,,,,
