Player,Team,Pos,Games,G,A,Pts,plusminus,SOG,PPG,PPA,PPP,Hits,BS,FP,FPGP
Sonny Milano,CLS,LW,8,1,0,1,0,5,0,0,0,5,0,7.5,0.9375
Stefan Elliott,FA,D,3,0,1,1,1,3,0,0,0,2,1,5.2,1.733333333
Stefan Noesen,SJ,C,41,3,5,8,-19,64,0,0,0,95,21,93.1,2.270731707
Stephen Gionta,FA,C,5,0,0,0,-4,4,0,0,0,14,2,7.6,1.52
Steve Kampfer,BOS,D,35,3,3,6,-6,40,1,1,2,44,32,68,1.942857143
Steve Santini,NSH,D,39,1,3,4,-6,41,0,0,0,80,43,83.9,2.151282051
Steven Fogarty,NYR,C,10,0,0,0,-1,9,0,0,0,6,3,7.6,0.76
Steven Stamkos,TB,C,82,45,53,98,4,234,19,21,40,72,40,432.6,5.275609756
Sven Andrighetto,FA,RW,64,7,10,17,10,95,0,0,0,29,32,114.5,1.7890625
Sven Baertschi,VAN,LW,26,9,5,14,-9,43,3,4,7,18,13,72.2,2.776923077
T.J. Brodie,CGY,D,79,9,25,34,29,102,1,3,4,21,86,189.8,2.402531646
T.J. Oshie,WAS,RW,69,25,29,54,5,143,6,8,14,133,55,300.7,4.357971014
Tage Thompson,BUF,RW,65,7,5,12,-22,108,1,0,1,66,9,101.7,1.564615385
Tanner Fritz,NYI,LW,8,0,1,1,-3,6,0,0,0,18,6,14.9,1.8625
Tanner Pearson,VAN,LW,80,18,9,27,-15,147,3,2,5,128,41,212.8,2.66
Taro Hirose,DET,LW,10,1,6,7,0,15,0,1,1,1,9,27,2.7
Taylor Fedun,DAL,D,54,4,7,11,2,86,0,2,2,19,58,101.9,1.887037037
Taylor Hall,ARI,LW,33,11,26,37,-6,113,1,11,12,22,29,164.7,4.990909091
Teddy Blueger,PIT,C,28,6,4,10,7,33,0,0,0,52,14,75.7,2.703571429
Teuvo Teravainen,CAR,C,82,21,55,76,30,167,8,16,24,35,23,307.8,3.753658537
Thomas Chabot,OTT,D,70,14,41,55,-12,185,1,15,16,71,112,299.5,4.278571429
Thomas Hickey,NYI,D,40,0,4,4,5,47,0,0,0,40,71,84.8,2.12
Thomas Vanek,FA,LW,64,16,20,36,-12,108,4,7,11,38,13,161.7,2.5265625
Tim Gettinger,NYR,LW,4,0,0,0,0,2,0,0,0,15,3,9.8,2.45
Tim Heed,SJ,D,37,2,11,13,9,41,1,2,3,16,31,75.4,2.037837838
Tim Schaller,VAN,C,47,3,7,10,-2,44,0,0,0,66,18,81.6,1.736170213
Timo Meier,SJ,LW,78,30,36,66,9,250,6,4,10,99,40,346,4.435897436
Tobias Rieder,CGY,RW,67,0,11,11,-8,92,0,2,2,69,44,113.3,1.691044776
Tom Kuhnhackl,NYI,RW,36,4,5,9,1,30,0,0,0,48,41,79,2.194444444
Tom Pyatt,FA,C,37,0,2,2,-16,29,0,0,0,15,46,38.1,1.02972973
Tom Wilson,WAS,RW,63,22,18,40,11,130,3,2,5,200,52,290.5,4.611111111
Tomas Hertl,SJ,LW,77,35,39,74,5,176,11,4,15,53,64,329.4,4.277922078
Tomas Hyka,FA,RW,17,1,3,4,-2,22,0,2,2,6,5,24.3,1.429411765
Tomas Nosek,VGK,LW,68,8,9,17,-10,116,0,0,0,75,23,132.4,1.947058824
Tomas Plekanec,FA,C,3,1,0,1,0,8,0,0,0,1,1,7.2,2.4
Tomas Tatar,MON,LW,80,25,33,58,21,195,4,4,8,77,30,291,3.6375
Torey Krug,BOS,D,64,6,47,53,-2,151,2,28,30,53,60,257.9,4.0296875
Travis Boyd,WAS,C,53,5,15,20,6,35,0,2,2,13,21,81,1.528301887
Travis Dermott,TOR,D,64,4,13,17,-5,98,0,0,0,100,57,153.2,2.39375
Travis Hamonic,CGY,D,69,7,12,19,21,128,0,0,0,44,167,212.2,3.075362319
Travis Konecny,PHI,C,82,24,25,49,-4,182,4,4,8,65,45,255.8,3.119512195
Travis Sanheim,PHI,D,82,9,26,35,-4,121,2,3,5,45,133,219.4,2.675609756
Travis Zajac,NJ,C,80,19,27,46,-25,120,5,7,12,66,38,210.5,2.63125
Trent Frederic,BOS,C,15,0,0,0,-4,19,0,0,0,18,3,16.1,1.073333333
Trevor Carrick,SJ,D,1,0,0,0,-1,0,0,0,0,1,1,0.5,0.5
Trevor Daley,DET,D,44,2,6,8,-3,47,0,0,0,14,53,68.8,1.563636364
Trevor Lewis,LA,C,44,3,9,12,-9,87,0,0,0,53,25,96.3,2.188636364
Trevor Moore,TOR,LW,25,2,6,8,1,26,0,0,0,15,7,39.9,1.596
Trevor van Riemsdyk,CAR,D,78,3,11,14,-4,102,0,0,0,42,84,132.8,1.702564103
Troy Brouwer,STL,RW,75,12,9,21,-6,86,0,0,0,177,38,192.9,2.572
Troy Stecher,VAN,D,78,2,21,23,9,105,0,2,2,91,96,190,2.435897436
Troy Terry,ANH,C,32,4,9,13,8,25,2,4,6,4,12,58,1.8125
Ty Rattie,FA,RW,50,4,7,11,-2,84,0,1,1,57,7,91.6,1.832
Tyler Bertuzzi,DET,LW,73,21,26,47,11,131,3,3,6,76,39,236.4,3.238356164
Tyler Bozak,STL,C,72,13,25,38,-3,141,2,6,8,52,33,194.4,2.7
Tyler Ennis,OTT,LW,51,12,6,18,-6,81,2,3,5,49,14,113.9,2.233333333
Tyler Johnson,TB,C,80,29,18,47,15,163,1,7,8,50,32,244.7,3.05875
Tyler Lewington,WAS,D,2,1,1,2,3,3,0,0,0,4,1,10.2,5.1
Tyler Motte,VAN,C,74,9,7,16,-12,114,0,0,0,200,52,206.6,2.791891892
Tyler Myers,VAN,D,80,9,22,31,11,156,0,7,7,97,99,243.9,3.04875
Tyler Pitlick,PHI,C,47,8,4,12,-2,75,1,0,1,93,27,122,2.595744681
Tyler Seguin,DAL,C,82,33,47,80,17,334,9,18,27,74,47,422.6,5.153658537
Tyler Toffoli,LA,RW,82,13,21,34,-16,226,3,2,5,39,23,199.4,2.431707317
Tyrell Goulbourne,VGK,LW,2,0,0,0,0,3,0,0,0,6,0,4.2,2.1
Tyson Barrie,TOR,D,78,14,45,59,-3,218,2,23,25,48,93,313.2,4.015384615
Tyson Jost,COL,C,70,11,15,26,-2,114,4,1,5,48,35,154.1,2.201428571
Urho Vaakanainen,BOS,D,2,0,0,0,-1,2,0,0,0,0,0,0.3,0.15
Valentin Zykov,VGK,RW,28,2,3,5,-5,29,0,2,2,26,6,39.1,1.396428571
Valeri Nichushkin,COL,LW,57,0,10,10,-4,65,0,0,0,71,32,95.5,1.675438596
Valtteri Filppula,DET,C,72,17,14,31,19,78,0,0,0,12,34,142.7,1.981944444
Victor Hedman,TB,D,70,12,42,54,24,182,2,23,25,59,97,307.8,4.397142857
Victor Mete,MON,D,71,0,13,13,17,65,0,0,0,21,95,118.5,1.669014085
Victor Olofsson,BUF,LW,6,2,2,4,1,21,2,0,2,2,3,23.4,3.9
Victor Rask,MIN,C,49,3,6,9,-4,55,0,2,2,40,12,69,1.408163265
Viktor Arvidsson,NSH,LW,58,34,14,48,12,195,3,1,4,18,23,238.5,4.112068966
Vince Dunn,STL,D,78,12,23,35,14,150,3,5,8,48,68,215,2.756410256
Vincent Trocheck,FLA,C,55,10,24,34,-9,158,3,10,13,112,42,226.7,4.121818182
Vinni Lettieri,NYR,C,27,1,2,3,-7,40,1,1,2,41,11,47.5,1.759259259
Vinnie Hinostroza,ARI,C,72,16,23,39,-4,152,3,2,5,69,41,212.8,2.955555556
Vitali Abramov,OTT,RW,1,0,0,0,-3,0,0,0,0,0,1,-1,-1
Vladimir Sobotka,BUF,C,69,5,8,13,-20,71,0,0,0,87,30,107.9,1.563768116
Vladimir Tarasenko,STL,RW,76,33,35,68,8,275,12,10,22,88,40,369,4.855263158
Vladislav Kamenev,COL,C,23,2,3,5,-2,22,1,0,1,20,4,32.8,1.426086957
Vladislav Namestnikov,OTT,C,78,11,20,31,-7,119,1,2,3,140,62,221.1,2.834615385
Wade Megan,FA,C,11,0,1,1,-4,16,0,0,0,4,4,10.4,0.945454545
Warren Foegele,CAR,LW,77,10,5,15,-17,106,0,0,0,126,19,146.4,1.901298701
Wayne Simmonds,NJ,RW,79,17,13,30,-16,157,5,3,8,137,28,222.3,2.813924051
Will Borgen,BUF,D,4,0,0,0,-5,2,0,0,0,12,3,5.8,1.45
Will Butcher,NJ,D,78,4,26,30,-17,108,1,13,14,38,74,168.7,2.162820513
William Carrier,VGK,LW,54,8,1,9,-4,85,0,0,0,277,13,203,3.759259259
William Karlsson,VGK,C,82,24,32,56,1,169,7,7,14,51,55,271.1,3.306097561
William Nylander,TOR,C,54,7,20,27,-4,130,1,5,6,16,14,132,2.444444444
Xavier Ouellet,MON,D,19,0,3,3,-3,32,0,0,0,32,30,48.3,2.542105263
Yanni Gourde,TB,LW,80,22,26,48,9,130,5,4,9,83,30,240,3
Yannick Weber,NSH,D,62,2,6,8,7,67,0,0,0,64,32,96.3,1.553225806
Zac Dalpe,CLS,C,1,0,1,1,1,1,0,0,0,0,0,2.9,2.9
Zac Rinaldo,CGY,C,23,1,2,3,1,11,0,0,0,47,8,39.4,1.713043478
Zach Aston-Reese,PIT,C,43,8,9,17,12,76,0,0,0,138,37,165.9,3.858139535
Zach Bogosian,BUF,D,65,3,16,19,-5,93,0,1,1,83,116,176.2,2.710769231
Zach Hyman,TOR,RW,71,21,20,41,16,144,0,0,0,102,39,239.1,3.367605634
Zach Parise,MIN,LW,74,28,33,61,-2,229,10,6,16,49,71,316.6,4.278378378
Zach Sanford,STL,LW,60,8,12,20,8,77,0,1,1,48,37,126.3,2.105
Zach Trotman,PIT,D,13,0,1,1,4,16,0,1,1,20,18,30.4,2.338461538
Zach Werenski,CLS,D,82,11,33,44,-12,168,2,13,15,67,89,253.2,3.087804878
Zachary Senyshyn,BOS,RW,2,1,0,1,0,4,0,0,0,1,0,5.1,2.55
Zack Kassian,EDM,RW,79,15,11,26,-6,111,0,0,0,191,15,211.4,2.675949367
Zack MacEwen,VAN,C,4,0,1,1,-4,2,0,0,0,4,1,3.3,0.825
Zack Smith,CHI,C,70,9,19,28,-6,101,0,0,0,136,27,183.9,2.627142857
Zdeno Chara,BOS,D,62,5,9,14,22,99,1,2,3,81,88,171.1,2.759677419
Zemgus Girgensons,BUF,C,72,5,13,18,-11,78,0,0,0,144,29,153.2,2.127777778
