Player,Team,Pos,Games,G,A,Pts,plusminus,SOG,PPG,PPA,PPP,Hits,BS,FP,FPGP
Anton Stralman,FLA,D,47,2,15,17,12,57,0,1,1,59,71,130.8,2.782978723
Antti Suomela,SJ,C,27,3,5,8,1,42,0,0,0,10,11,46.8,1.733333333
Anze Kopitar,LA,C,81,22,38,60,-20,156,1,18,19,59,66,275.9,3.40617284
Artem Anisimov,OTT,C,78,15,22,37,-2,142,1,3,4,25,33,177.8,2.279487179
Artemi Panarin,NYR,LW,79,28,59,87,14,191,6,12,18,14,17,318.9,4.036708861
Artturi Lehkonen,MON,LW,82,11,20,31,10,176,0,0,0,120,39,227.9,2.779268293
Ashton Sautner,VAN,D,17,0,1,1,-2,21,0,0,0,25,17,30.4,1.788235294
Austin Czarnik,CGY,C,54,6,12,18,-1,65,0,3,3,10,24,87.5,1.62037037
Austin Wagner,LA,LW,62,12,9,21,2,67,0,0,0,142,9,157.3,2.537096774
Austin Watson,NSH,LW,37,7,9,16,11,64,1,0,1,109,28,139.6,3.772972973
Auston Matthews,TOR,C,68,37,36,73,-9,251,12,8,20,28,60,342.9,5.042647059
Barclay Goodrow,SJ,LW,82,7,10,17,4,84,0,0,0,125,68,173.1,2.11097561
Ben Chiarot,MON,D,78,5,15,20,6,111,0,0,0,171,139,247.4,3.171794872
Ben Harpur,TOR,D,51,1,4,5,-13,50,0,0,0,89,69,103.5,2.029411765
Ben Hutton,LA,D,69,5,15,20,-23,114,1,7,8,55,102,165.6,2.4
Ben Lovejoy,FA,D,71,2,7,9,-1,95,0,0,0,76,118,154.5,2.176056338
Ben Street,NJ,C,21,3,2,5,-4,19,0,0,0,19,9,32.6,1.552380952
Benjamin Gleason,DAL,D,4,0,1,1,-1,2,0,0,0,2,1,3.8,0.95
Blake Coleman,NJ,C,78,22,14,36,-19,213,3,0,3,225,44,307.2,3.938461538
Blake Comeau,DAL,LW,77,7,11,18,-7,102,0,0,0,208,40,204.3,2.653246753
Blake Lizotte,LA,LW,1,0,0,0,-1,1,0,0,0,0,1,0.4,0.4
Blake Pietila,ANH,LW,19,0,1,1,-7,22,0,0,0,36,8,29.3,1.542105263
Blake Wheeler,WPG,RW,82,20,71,91,0,231,2,31,33,81,53,394.4,4.809756098
Bo Horvat,VAN,C,82,27,34,61,-4,227,7,11,18,62,63,318.3,3.881707317
Bobby Ryan,OTT,RW,78,15,27,42,-29,160,7,9,16,77,49,227.5,2.916666667
Bogdan Kiselevich,FA,D,32,0,8,8,-3,14,0,0,0,49,21,55.1,1.721875
Boo Nieves,NYR,C,43,4,6,10,-4,34,0,0,0,33,18,61.1,1.420930233
Boone Jenner,CLS,LW,77,16,22,38,6,170,1,2,3,158,70,280,3.636363636
Brad Hunt,MIN,D,42,5,7,12,-2,75,4,4,8,18,28,89,2.119047619
Brad Malone,EDM,C,16,0,0,0,0,13,0,0,0,35,5,25.2,1.575
